"Timestamp","Observer","Date.Observed","Species","PlantNumber","Notes","leaf.breaking.buds.observed","leaf.breaking.buds.intensity","leaf.present.observed","leaf.present.intensity","leaf.increasing.observed","leaf.increasing.intensity","leaf.color.observed","leaf.color.intensity","leaf.falling.observed","flower.buds.observed","flower.buds.intensity","flower.open.observed","flower.open.intensity","flower.pollen.observed","flower.pollen.intensity","fruit.present.observed","fruit.present.intensity","fruit.ripe.observed","fruit.ripe.intensity","fruit.drop.observed","fruit.drop.intensity","Collection","Year"
2025-03-01,"Wagner",2025-03-01,"Ulmus laciniata","50-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus castaneifolia","45-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus hollandica","1457-24*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus hollandica","1114-25*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus chenmoui","128-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus parvifolia","991-27*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus hollandica","206-2008*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus chenmoui","128-2008*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus hollandica","206-2008*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus hollandica","206-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus spp.","4-2004*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus spp.","4-2004*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus serotina","272-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus serotina","272-2007*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
2025-03-01,"Wagner",2025-03-01,"Ulmus serotina","272-2007*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2025"
