Taxon,Vernacular,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Quercus ellipsoidalis,Hill's Oak,Quercus,204-92,204-92*2,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Iowa, Winneshiek, in Bluffton Township",K-99,57-54,41.8144390000,-88.0515450000,,
Quercus texana 'New Madrid',New Madrid Nuttall's Oak,Quercus,500-2005,500-2005*1,United States of America,Starhill Forest Arboretum,z,?,"United States of America, Missouri, New Madrid, near New Madrid",M-95,22-08,41.8148500000,-88.0532000000,,
Quercus fernowii,Fernow's Oak,Quercus,1140-2004,1140-2004*1,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Stone, at Cedar Hollow Resort on Table Rock Lake, on edge of parking lot",L-93,98-97,41.8147740000,-88.0536040000,,
Quercus acutissima,Sawtooth Oak,Quercus,463-55,463-55*3,,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",g,,,K-98,55-88,41.8144280000,-88.0517870000,,
Quercus serrata,Gland Bearing Oak,Quercus,65-2008,65-2008*1,Japan,"Kamigamo Experimental Station Field Science Education and Research Center,",w,?,"Japan, Kyoto, in Kamigamo experimental forest, Kyoto University",H-100,28-25,41.8135430000,-88.0512430000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,704-46,704-46*3,United States of America,The Morton Arboretum-Staff,w,"Nordine, R.M.","United States of America, Indiana, site not noted",M-103,22-42,41.8149270000,-88.0501430000,,
Quercus bebbiana 'Taco',Taco Bebb's Oak,Quercus,71-98,71-98*1,,"Bailey Nurseries, Inc.",g,,,J-97,71-77,41.8141870000,-88.0521830000,,
Quercus dentata,Daimyo Oak,Quercus,4-2008,4-2008*3,China (PRC),The Morton Arboretum,z,"Bretschneider, E.V.","China (PRC), near Peking",H-99,66-28,41.8136390000,-88.0516050000,,
Quercus dentata,Daimyo Oak,Quercus,4-2008,4-2008*2,China (PRC),The Morton Arboretum,z,"Bretschneider, E.V.","China (PRC), near Peking",I-99,76-33,41.8139410000,-88.0516000000,,
Quercus marilandica,Blackjack Oak,Quercus,305-94,305-94*2,United States of America,International Oak Society Seed Exchange,w,"Green, T.","United States of America, Illinois, Henderson, near Oquaka",K-102,12-84,41.8143460000,-88.0503300000,,
Quercus robur,English Oak,Quercus,212-30,212-30*1,,Botanischer Garten München-Nymphenburg (Munich Botanical Garden),g,,,L-99,48-33,41.8146870000,-88.0516330000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,768-54,768-54*4,United States of America,,w,"Logue, E.C.","United States of America, Pennsylvania, from State College grounds",K-99,80-21,41.8144990000,-88.0516690000,,
Quercus macrocarpa 'Lippert',Lippert Bur Oak,Quercus,120-2006,120-2006*1,United States of America,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",w,,"United States of America, Oklahoma, Payne, Stillwater City Park, Stillwater",L-94,70-83,41.8147050000,-88.0532850000,"Arbor Day 2007, Employee Tree",
Quercus mongolica,Mongolian Oak,Quercus,343-94,343-94*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",N-97,01-33,41.8150880000,-88.0523850000,,
Quercus shumardii var. schneckii,Schneck's Oak,Quercus,215-51,215-51*1,,"Siebenthaler Nursery, The Siebenthaler Co.",g,,,M-98,77-08,41.8150290000,-88.0521070000,,
Quercus acutissima,Sawtooth Oak,Quercus,797-53,797-53*3,,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",g,,,J-100,10-95,41.8140480000,-88.0510140000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,661-32,661-32*1,,Arnold Arboretum of Harvard University,g,,,H-103,60-40,41.8136600000,-88.0500940000,"Allured, Stanley",
Quercus bicolor,Swamp White Oak,Quercus,214-91,214-91*1,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Warren, along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28",M-103,66-62,41.8150500000,-88.0500750000,,
Quercus macrocarpa,Bur Oak,Quercus,696-2006,696-2006*2,United States of America,,w,"Chmelir, G.","United States of America, Texas, Burleson",N-96,74-15,41.8152770000,-88.0528260000,,
Quercus sternbergii,Sternberg's Oak,Quercus,401-2008,401-2008*1,United States of America,Starhill Forest Arboretum,z,?,"United States of America, Texas, Dallas, near Dallas",J-101,36-35,41.8141240000,-88.0508650000,"Arbor Day 2015, employee tree",
Quercus petraea,Durmast Oak,Quercus,498-2005,498-2005*3,Germany,Starhill Forest Arboretum,z,?,"Germany, Hamburg, near Alten Eichen Hospital, Hamburg, Schelswig-Holstein",M-96,06-07,41.8148160000,-88.0528350000,,
Quercus petraea,Durmast Oak,Quercus,498-2005,498-2005*1,Germany,Starhill Forest Arboretum,z,?,"Germany, Hamburg, near Alten Eichen Hospital, Hamburg, Schelswig-Holstein",L-95,63-97,41.8146970000,-88.0528660000,,
Quercus gambelii,Gambel's Oak,Quercus,145-75,145-75*2,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Colorado, Teller",L-97,48-81,41.8146730000,-88.0521900000,,
Quercus bicolor,Swamp White Oak,Quercus,135-U,135-U*1,,columbia,u,,,M-94,80-33,41.8150020000,-88.0534820000,,
Quercus imbricaria,Shingle Oak,Quercus,1512-35,1512-35*2,,Missouri Botanical Garden,g,,,M-103,88-32,41.8151080000,-88.0501880000,,
Quercus imbricaria,Shingle Oak,Quercus,1183-2004,1183-2004*2,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,"Trager, J.C.","United States of America, Missouri, Franklin, Shaw Nature Reserve and along I-44 roadside",K-97,37-29,41.8143630000,-88.0523670000,,
Quercus schuettei,Schuett's Oak,Quercus,928-62,928-62*1,,Shaw Arboretum of the Missouri Botanical Garden,g,,,M-102,60-55,41.8150240000,-88.0504670000,,
Quercus aliena var. acutiserrata,Oriental White Oak,Quercus,1006-58,1006-58*1,,Holden Arboretum,g,,,J-101,06-72,41.8140450000,-88.0507280000,,
Quercus bebbiana,Bebb's Oak,Quercus,697-57,697-57*1,,The Morton Arboretum,g,,,L-99,76-90,41.8147690000,-88.0514280000,,
Quercus mongolica,Mongolian Oak,Quercus,265-90,265-90*11,China (PRC),The Morton Arboretum-Staff,w,?,"China (PRC), Shanxi, Pangquangou Nature Protection Area, Luliang Shan (Luliang Mountains)",N-97,56-21,41.8152380000,-88.0524360000,,
Quercus mongolica,Mongolian Oak,Quercus,333-94,333-94*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",K-105,05-50,41.8143520000,-88.0493550000,Dehm,
Quercus variabilis,Oriental Oak,Quercus,339-2002,339-2002*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",G-101,91-84,41.8134570000,-88.0506580000,,
Quercus macranthera,Caucasian oak,Quercus,19-2012,19-2012*1,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Khachmaz, Gusarchay Village",K-104,45-58,41.8144530000,-88.0496970000,,
Quercus baronii,Baroni's Oak,Quercus,903-2005,903-2005*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Diebu",K-94,53-93,41.8143860000,-88.0532340000,,
Quercus acutissima,Sawtooth Oak,Quercus,74-2002,74-2002*4,Japan,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",g,?,"Japan, Osaka, on grounds of Osaka Prefectural University",N-94,02-68,41.8150660000,-88.0533560000,,
Quercus imbricaria,Shingle Oak,Quercus,523-32,523-32*1,,Arnold Arboretum of Harvard University,g,,,N-103,38-07,41.8152420000,-88.0502860000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,65-92,65-92*1,United States of America,The Morton Arboretum Research Program,w,"Konsis, K.","United States of America, Illinois, Vermilion, from a spontaneous tree in Forest Glen County Preserve near Westville",H-100,31-65,41.8135550000,-88.0510990000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,365-2007,365-2007*7,United States of America,The Morton Arboretum Research Program,w,"Hipp, A.L.","United States of America, Michigan, Washtenaw, Hankerd Road Sand Barrens, adjacent to Pickerel Lake",J-102,98-15,41.8143000000,-88.0505800000,,
Quercus macrocarpa,Bur Oak,Quercus,752-34,752-34*2,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,I-105,60-80,41.8139570000,-88.0492270000,,
Quercus robur 'Fastigiata',Upright English Oak,Quercus,519-54,519-54*4,,The Morton Arboretum,G,,,G-102,60-70,41.8133800000,-88.0503390000,,
Quercus macrocarpa,Bur Oak,Quercus,1261-26,1261-26*2,,Arnold Arboretum of Harvard University,g,,,K-104,80-30,41.8145460000,-88.0498030000,,
Quercus dalechampii,Italian Oak,Quercus,286-97,286-97*2,Hungary,Starhill Forest Arboretum,w,?,"Hungary, in Zemplen Mountains, Edobeluge Nord 3 km.",K-101,50-54,41.8144380000,-88.0508110000,,
Quercus macranthera,Caucasian oak,Quercus,19-2012,19-2012*2,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Khachmaz, Gusarchay Village",L-104,16-27,41.8146450000,-88.0498190000,,
Quercus ellipsoidalis,Hill's Oak,Quercus,437-2004,437-2004*2,United States of America,Harvard University Herbarium,w,?,"United States of America, somewhere in the upper Midwest",M-93,14-63,41.8148150000,-88.0537300000,,
Quercus deamii,Deam's Oak,Quercus,616-30,616-30*6,,Arnold Arboretum of Harvard University,u,,,L-98,11-09,41.8145740000,-88.0520830000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,768-54,768-54*2,United States of America,,w,"Logue, E.C.","United States of America, Pennsylvania, from State College grounds",K-99,60-23,41.8144450000,-88.0516590000,,
Quercus macrocarpa 'Eckman',Eckman's Bur Oak,Quercus,597-2001,597-2001*2,,,g,,,J-99,18-14,41.8140540000,-88.0516750000,,
Quercus ellipsoidalis,Hill's Oak,Quercus,204-92,204-92*1,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Iowa, Winneshiek, in Bluffton Township",K-99,12-59,41.8143160000,-88.0515210000,"Graves, Barbara Ann",
Quercus mongolica,Mongolian Oak,Quercus,333-94,333-94*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",N-97,30-57,41.8151700000,-88.0523000000,,
Quercus mongolica,Mongolian Oak,Quercus,343-94,343-94*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,W,,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",M-97,58-00,41.8149670000,-88.0525010000,,
Quercus marilandica,Blackjack Oak,Quercus,305-94,305-94*3,United States of America,International Oak Society Seed Exchange,w,"Green, T.","United States of America, Illinois, Henderson, near Oquaka",K-102,31-62,41.8143960000,-88.0504130000,,
Quercus velutina,Black Oak,Quercus,185-92,185-92*2,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Illinois, Will, along Merioneth Road",K-100,91-43,41.8145410000,-88.0512230000,,
Quercus macrocarpa,Bur Oak,Quercus,4-35,4-35*1,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,K-100,44-43,41.8144120000,-88.0512170000,,
Quercus macrocarpa 'Lippert',Lippert Bur Oak,Quercus,120-2006,120-2006*3,United States of America,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",w,,"United States of America, Oklahoma, Payne, Stillwater City Park, Stillwater",L-94,82-40,41.8147340000,-88.0534440000,,
Quercus mongolica,Mongolian Oak,Quercus,403-97,403-97*1,Russia,Midwest Plant Collecting Collaborative (MWPCC) 1997 Russia Far East Expedit,w,,"Russia, Rossiya (Russia), Primor'ye",L-102,42-80,41.8147020000,-88.0503610000,,
Quercus phellos,Willow Oak,Quercus,109-74,109-74*1,,Princeton Nurseries,g,,,L-104,91-18,41.8148500000,-88.0498610000,,
Quercus bicolor,Swamp White Oak,Quercus,513-25,513-25*1,,Arnold Arboretum of Harvard University,g,,,H-102,80-90,41.8137110000,-88.0502800000,,
Quercus stellata,Post Oak,Quercus,212-91,212-91*3,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",M-101,44-37,41.8149690000,-88.0508970000,,
Quercus macrocarpa,Bur Oak,Quercus,808-51,808-51*1,United States of America,,w,"Anten, B.C.","United States of America, Missouri, Jasper, near Carterville",N-102,62-67,41.8153040000,-88.0504350000,,
Quercus shumardii,Shumard's Oak,Quercus,575-40,575-40*2,United States of America,University of Kentucky,w,?,"United States of America, Kentucky, Union",D-105,70-85,41.8126140000,-88.0491490000,,
Quercus marilandica,Blackjack Oak,Quercus,362-96,362-96*9,United States of America,The Morton Arboretum,w,"Sternberg, G.","United States of America, Missouri, Phelps",M-103,05-05,41.8148770000,-88.0502770000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,365-2007,365-2007*8,United States of America,The Morton Arboretum Research Program,w,"Hipp, A.L.","United States of America, Michigan, Washtenaw, Hankerd Road Sand Barrens, adjacent to Pickerel Lake",K-102,07-21,41.8143250000,-88.0505610000,,
Quercus macrocarpa,Bur Oak,Quercus,297-2002,297-2002*1,United States of America,Poplar Farms Nursery & Produce Inc.,w,?,"United States of America, Illinois, northern",G-100,88-85,41.8134390000,-88.0510200000,"Hall, Larry",
Quercus rubra,Northern Red Oak,Quercus,292-64,292-64*1,,"Doty & Doerner, Inc. Nurseries",g,,,J-95,48-59,41.8141040000,-88.0529790000,,
Quercus lusitanica,Lusitanian Oak,Quercus,18-2011,18-2011*3,,,g,,,K-105,19-81,41.8143930000,-88.0492430000,,
Quercus lobata,California White Oak,Quercus,526-2000,526-2000*3,United States of America,International Oak Society Seed Exchange,W,?,"United States of America, California, Sacramento, native tree in Sacramento city garden",K-104,34-10,41.8144180000,-88.0498710000,,
Quercus alba,White Oak,Quercus,134-U,134-U*67,,columbia,u,,,H-102,28-55,41.8135660000,-88.0504030000,"Kellam, Kay (Kitty Ann Webster)",
Quercus robur subsp. pedunculiflora,Peduncled English Oak,Quercus,21-2012,21-2012*2,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Khachmaz, at Khudat",J-104,35-79,41.8141530000,-88.0496060000,,
Quercus marilandica,Blackjack Oak,Quercus,258-95,258-95*1,United States of America,The Garner Museum of Natural History,w,"Garner, J.r.; PL.","United States of America, Illinois, Pope",L-104,02-05,41.8146040000,-88.0498980000,,
Quercus alba,White Oak,Quercus,304-94,304-94*2,United States of America,International Oak Society Seed Exchange,w,"Keiser, D.","United States of America, Minnesota, Anoka, on a farm",L-102,74-14,41.8147840000,-88.0506070000,,
Quercus robur,English Oak,Quercus,180-93,180-93*8,Russia,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",w,"Linden, P.J. van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",N-98,69-88,41.8152890000,-88.0518250000,,
Quercus robur subsp. pedunculiflora,Peduncled English Oak,Quercus,398-2009,398-2009*1,Azerbaijan,,z,?,Azerbaijan,H-99,11-01,41.8134850000,-88.0516970000,,
Quercus mongolica,Mongolian Oak,Quercus,265-90,265-90*10,China (PRC),The Morton Arboretum,W,?,"China (PRC), Shanxi, Pangquangou Nature Protection Area, Luliang Shan (Luliang Mountains)",N-96,63-84,41.8152530000,-88.0525720000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,704-46,704-46*2,United States of America,The Morton Arboretum-Staff,w,"Nordine, R.M.","United States of America, Indiana, site not noted",M-103,10-82,41.8148980000,-88.0499950000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,528-99,528-99*1,United States of America,Nebraska Statewide Arboretum,w,?,"United States of America, Nebraska, Richardson, in the Rock Creek bluffs, 3 miles south of Salem",K-99,92-44,41.8145340000,-88.0515860000,,
Quercus hartwissiana,Hartwiss' Oak,Quercus,27-95,27-95*3,Turkey,Istanbul University Orman Fakultesi Silvikultur Ara Bilim Dah,w,?,"Turkey, Black Sea, Zonguldak, on the northwest Black Sea area near Yenice Cit dere",L-100,31-31,41.8146490000,-88.0512720000,,
Quercus deamii,Deam's Oak,Quercus,616-30,616-30*4,,Arnold Arboretum of Harvard University,u,,,K-98,95-46,41.8145330000,-88.0519460000,,
Quercus mongolica,Mongolian Oak,Quercus,852-2005,852-2005*7,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Kangle, at Xian Jia Wan",K-95,42-62,41.8143620000,-88.0529800000,,
Quercus boyntonii,Boynton's Sand Post Oak,Quercus,386-2010,386-2010*1,United States of America,Mt. Cuba Center for the Study of Piedmont Flora,w,"Spicer, F.","United States of America, Alabama, Etowah, Hind's Rock, on the northwest side of Hind's Road, near Noccalulla Falls, Gadsden",K-99,91-24,41.8145300000,-88.0516570000,,
Quercus alba,White Oak,Quercus,304-94,304-94*1,United States of America,International Oak Society Seed Exchange,w,"Keiser, D.","United States of America, Minnesota, Anoka, on a farm",L-102,64-47,41.8147600000,-88.0504840000,,
Quercus macrocarpa 'Lippert',Lippert Bur Oak,Quercus,120-2006,120-2006*2,United States of America,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",w,,"United States of America, Oklahoma, Payne, Stillwater City Park, Stillwater",L-94,30-35,41.8145910000,-88.0534560000,,
Quercus shumardii var. schneckii,Schneck's Oak,Quercus,10-2008,10-2008*1,United States of America,The Morton Arboretum,z,?,"United States of America, Kentucky, Union",J-93,60-86,41.8141210000,-88.0536150000,,
Quercus dentata 'Pinnatifida',Cut-leaved Daimyo Oak,Quercus,58-2009,58-2009*1,,"Brotzman's Nursery, Inc.",g,,,J-99,05-38,41.8140210000,-88.0515850000,,
Quercus alba,White Oak,Quercus,862-34,862-34*1,,,g,,,J-103,03-73,41.8140560000,-88.0499910000,,
Quercus,Oak,Quercus,864-34,864-34*1,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,I-105,40-95,41.8139030000,-88.0491690000,,
Quercus macrocarpa,Bur Oak,Quercus,702-2006,702-2006*2,United States of America,International Oak Society Seed Exchange,w,?,"United States of America, Texas, Texas A & M Research Station",L-93,68-18,41.8146850000,-88.0538890000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,365-2007,365-2007*3,United States of America,The Morton Arboretum Research Program,w,"Hipp, A.L.","United States of America, Michigan, Washtenaw, Hankerd Road Sand Barrens, adjacent to Pickerel Lake",K-102,14-17,41.8143460000,-88.0505760000,,
Quercus robur,English Oak,Quercus,180-93,180-93*10,Russia,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",w,"Linden, P.J. van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",O-98,22-36,41.8154290000,-88.0520220000,,
Quercus robur subsp. pedunculiflora,Peduncled English Oak,Quercus,400-2009,400-2009*1,Azerbaijan,,z,?,Azerbaijan,H-99,32-36,41.8135460000,-88.0515710000,,
Quercus serrata,Gland Bearing Oak,Quercus,34-2003,34-2003*1,Japan,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",w,?,"Japan, Chiba, Matsudo, Matsudo City",H-100,17-95,41.8135200000,-88.0509870000,,
Quercus fernowii,Fernow's Oak,Quercus,1643-35,1643-35*1,,Missouri Botanical Garden,g,,,E-105,25-20,41.8127580000,-88.0493940000,,
Quercus robur,English Oak,Quercus,521-54,521-54*1,,The Morton Arboretum,G,,,C-104,70-85,41.8123300000,-88.0495030000,,
Quercus alba,White Oak,Quercus,134-U,134-U*6,,columbia,u,,,H-101,60-94,41.8136470000,-88.0506290000,Robert Milligan,
Quercus variabilis,Oriental Oak,Quercus,19-2003,19-2003*1,China (PRC),Chicago Botanic Garden (Botanic Garden of the Chicago Horticultural Society,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",J-96,78-05,41.8141900000,-88.0528140000,,
Quercus bebbiana,Bebb's Oak,Quercus,422-48,422-48*1,,Deam Arboretum,g,,,I-104,73-06,41.8139760000,-88.0498660000,,
Quercus rubra,Northern Red Oak,Quercus,64-92,64-92*1,United States of America,The Morton Arboretum Research Program,w,"Green, T.L.","United States of America, Illinois, Kane, from a spontaneous tree in Pottawatamie Park Golf Course in St. Charles",H-101,64-25,41.8136510000,-88.0508830000,,
Quercus warei 'Long',Long Ware's Oak,Quercus,171-2008,171-2008*2,,The Morton Arboretum: Plant Sale,g,,,J-100,95-85,41.8142810000,-88.0510570000,,
Quercus palustris 'Sovereign',Sovereign Pin Oak,Quercus,77-72,77-72*1,,"Cole Nursery Co. (AmFac Nurseries, Cole)",g,,,H-103,65-70,41.8136770000,-88.0499850000,,
Quercus michauxii,Swamp Chestnut Oak,Quercus,476-42,476-42*1,,University of Washington Botanic Gardens,g,,,H-102,22-25,41.8135460000,-88.0505110000,,
Quercus aliena var. acutiserrata,Oriental White Oak,Quercus,530-2008,530-2008*10,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",H-103,26-45,41.8135660000,-88.0500700000,,
Quercus georgiana,Georgia Oak,Quercus,49-2002,49-2002*4,United States of America,Starhill Forest Arboretum,w,?,"United States of America, Georgia, DeKalb, on Stone Mountain",M-95,75-17,41.8149970000,-88.0531730000,,
Quercus georgiana,Georgia Oak,Quercus,49-2002,49-2002*5,United States of America,Starhill Forest Arboretum,w,?,"United States of America, Georgia, DeKalb, on Stone Mountain",M-95,97-00,41.8150550000,-88.0532380000,,
Quercus ellipsoidalis,Hill's Oak,Quercus,437-2004,437-2004*3,United States of America,Harvard University Herbarium,w,?,"United States of America, somewhere in the upper Midwest",M-93,39-43,41.8148820000,-88.0538070000,,
Quercus shumardii,Shumard's Oak,Quercus,540-96,540-96*3,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Missouri, Taney, at overlook along state highway 76 near Branson in Henning State Forest",K-101,08-10,41.8143190000,-88.0509670000,,
Quercus schuettei,Schuett's Oak,Quercus,863-34,863-34*1,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,I-106,40-20,41.8139060000,-88.0490780000,,
Quercus macrocarpa,Bur Oak,Quercus,138-U,138-U*4,,columbia,u,,,H-101,33-46,41.8135680000,-88.0508020000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,365-2007,365-2007*4,United States of America,The Morton Arboretum Research Program,w,"Hipp, A.L.","United States of America, Michigan, Washtenaw, Hankerd Road Sand Barrens, adjacent to Pickerel Lake",K-102,20-07,41.8143610000,-88.0506130000,,
Quercus macrocarpa 'Eckman',Eckman's Bur Oak,Quercus,597-2001,597-2001*3,,,g,,,J-99,23-36,41.8140700000,-88.0515950000,,
Quercus palustris,Pin Oak,Quercus,1186-2004,1186-2004*2,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Franklin, in Shaw Nature Reserve",L-93,17-64,41.8145490000,-88.0537150000,,
Quercus warei 'Nadler',Ware's Oak,Quercus,51-2009,51-2009*2,,"Robinson Nursery, Inc.",g,,,J-98,48-73,41.8141330000,-88.0518290000,,
Quercus georgiana,Georgia Oak,Quercus,49-2002,49-2002*3,United States of America,Starhill Forest Arboretum,w,?,"United States of America, Georgia, DeKalb, on Stone Mountain",M-94,68-90,41.8149750000,-88.0532710000,,
Quercus mongolica,Mongolian Oak,Quercus,343-94,343-94*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",M-97,47-49,41.8149410000,-88.0523200000,,
Quercus aliena var. acutiserrata,Oriental White Oak,Quercus,530-2008,530-2008*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",L-95,48-22,41.8146490000,-88.0531390000,,
Quercus coccinea,Scarlet Oak,Quercus,435-2004,435-2004*1,United States of America,Harvard University Herbarium,w,"Goldman, D.","United States of America, New Jersey, Middlesex",M-94,30-66,41.8148680000,-88.0533550000,,
Quercus robur subsp. pedunculiflora,Peduncled English Oak,Quercus,15-2011,15-2011*1,,,G,,,G-99,94-24,,,,
Quercus macrocarpa,Bur Oak,Quercus,2390-26,2390-26*2,,Arnold Arboretum of Harvard University,g,,,I-103,70-50,41.8139630000,-88.0500710000,,
Quercus guadalupensis,Guadalupe Oak,Quercus,544-2006,544-2006*2,United States of America,,g,"Chmelir, G.","United States of America, Texas, Burleson, in a parkway in Caldwell",L-96,28-17,41.8146030000,-88.0527890000,,
Quercus shumardii,Shumard's Oak,Quercus,1513-35,1513-35*1,,Missouri Botanical Garden,g,,,I-103,00-55,41.8137710000,-88.0500440000,,
Quercus dentata,Daimyo Oak,Quercus,4-2008,4-2008*4,China (PRC),The Morton Arboretum,z,"Bretschneider, E.V.","China (PRC), near Peking",H-99,92-07,41.8137080000,-88.0516850000,,
Quercus montana,Chestnut Oak,Quercus,602-2000,602-2000*1,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,w,,"United States of America, Virginia, Craig, at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest",G-104,97-11,41.8134940000,-88.0498260000,,
Quercus jackiana,Jack's Oak,Quercus,685-33,685-33*1,,The Morton Arboretum,g,,,K-99,78-91,41.8145000000,-88.0514120000,,
Quercus mongolica,Mongolian Oak,Quercus,333-94,333-94*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",K-105,30-31,41.8144180000,-88.0494270000,,
Quercus ilicifolia,Bear Oak,Quercus,260-93,260-93*2,United States of America,Reeseville Ridge Nursery,w,?,"United States of America, West Virginia, in the southeastern part of Monongahela National Forest",J-100,80-58,41.8142380000,-88.0511550000,,
Quercus castaneifolia,Chestnut-leaf Oak,Quercus,18-2012,18-2012*1,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Zagatala",K-104,00-44,41.8143280000,-88.0497420000,,
Quercus dentata,Daimyo Oak,Quercus,4-2008,4-2008*1,China (PRC),The Morton Arboretum,z,"Bretschneider, E.V.","China (PRC), near Peking",I-99,72-72,41.8139330000,-88.0514570000,,
Quercus macrocarpa,Bur Oak,Quercus,1261-26,1261-26*1,,Arnold Arboretum of Harvard University,g,,,K-104,50-95,41.8144700000,-88.0495620000,,
