PlantNumber,Taxon,Vernacular,BgLocation,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
202-2018*1,Tilia 'Zamoyskiana',Zamoyski's Linden,East Tilia,O-87,19-97,41.8153250000,-88.0558310000
200-2017*1,Tilia americana 'McKSentry',American Basswood,East Tilia,Q-91,65-37,41.8160300000,-88.0546130000
202-2017*2,Tilia americana 'Redmond',Redmond American Basswood,East Tilia,Q-91,48-89,41.8159890000,-88.0544200000
187-2017*1,Tilia cordata 'Greenspire',Greenspire lttle-leaved linden,East Tilia,P-91,93-41,41.8158330000,-88.0545900000
39-2015*3,Tilia mongolica,Mongolian Linden,East Tilia,Q-92,26-49,41.8159360000,-88.0541970000
363-94*9,Tilia mongolica,Mongolian Linden,East Tilia,O-89,06-16,41.8153000000,-88.0553920000
904-2005*1,Tilia paucicostata,Few-ribbed Linden,East Tilia,O-87,02-72,41.8152760000,-88.0559190000
363-94*10,Tilia mongolica,Mongolian Linden,East Tilia,O-89,35-24,41.8153800000,-88.0553660000
153-2011*1,Tilia cordata 'Corzam',Little-leaved Linden,East Tilia,L-86,48-64,41.8145690000,-88.0562840000
39-2015*1,Tilia mongolica,Mongolian Linden,East Tilia,Q-92,02-49,41.8158700000,-88.0541960000
145-2012*2,Tilia japonica,Japanese Linden,East Tilia,O-89,99-37,41.8155570000,-88.0553280000
