Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,293-2011,293-2011*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-99,04-81,41.8164900000,-88.0515370000,,
Acer monspessulanum L.,Montpellier Maple,,Acer,156-72,156-72*2,,Botanicki vrt Zemaljskog muzeja BiH Sarajevo (Sarajevo Botanical Garden),g,,,X-101,03-98,41.8178790000,-88.0508030000,,
Acer rubrum L.,Red Maple,,Acer,124-52,124-52*2,,County of Monroe Department of Parks,g,,,T-104,10-00,41.8168200000,-88.0500150000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*10,,Linderman's Chesterton Nurseries,g,,,Z-106,15-05,41.8184980000,-88.0493370000,"Krick, Chris",
Acer tsinglingense W.P.Fang & C.F.Hsieh,Tsingling Maple,,Acer,264-2011,264-2011*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Xi'an City, Chang'an, Nan Wu Tai",S-101,50-08,41.8166290000,-88.0510760000,,
Acer carpinifolium Siebold & Zucc.,Hornbeam Maple,,Acer,348-2005,348-2005*5,Japan,The Morton Arboretum,z,?,"Japan, Tochigi, on Mt. Izura near Isura-kam-non-San Shrine",S-102,52-27,41.8166450000,-88.0506420000,,
Acer triflorum Komar.,Three-flowered Maple,,Acer,760-50,760-50*1,,Arnold Arboretum of Harvard University,g,,,V-98,25-65,41.8173600000,-88.0520020000,Daniel P. Murray,
Acer nikoense Maxim.,Nikko Maple,,Acer,218-49,218-49*3,,Dendrological garden of the Silva Tarouca Research Institute for Landscape,g,,,V-98,59-68,41.8174530000,-88.0519950000,,
Acer negundo var. violaceum Booth ex G.Kirchn.,Boxelder,,Acer,476-2015,476-2015*2,United States of America,The Morton Arboretum-Staff,z,,"United States of America, Illinois, Will, right bank of the Du Page River",T-103,14-25,41.8168250000,-88.0502920000,,
Acer stachyophyllum Hiern,Spike-leaved Maple,,Acer,879-2005,879-2005*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Zhou Qu Shen, in Bai Long Jiang Forest Station / Ge'er Gou",S-100,39-93,41.8165960000,-88.0511310000,,
Acer saccharum 'Temple's Upright',Temple's Upright Sugar Maple,,Acer,655-56,655-56*1,,County of Monroe Department of Parks,g,,,Q-101,73-65,41.8161480000,-88.0508470000,,
Acer palmatum 'Koshimino' _ pseudosieboldianum,Hybrid Japanese Maple,,Acer,301-2013,301-2013*1,,The Morton Arboretum,g,,,Q-100,29-53,41.8160170000,-88.0512540000,,
Acer spicatum Lam.,Mountain Maple,,Acer,155-97,155-97*1,United States of America,The Morton Arboretum Research Program,w,"Wiegrefe, S","United States of America, Michigan, Marquette, from w. of trail about 0.15 mi. sw of where trail from White Deer Lake crosses the creek from Camp 11 Lake, McCormick Wilderness Area, Ottawa National Forest",T-102,03-87,41.8167900000,-88.0504280000,,
Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray,Franchet's Maple,,Acer,78-2003,78-2003*2,China (PRC),Shanghai Botanic Garden,w,?,"China (PRC), Gansu, on Mt. Maiji",Q-102,34-06,41.8160450000,-88.0506920000,,
Acer freemanii 'Armstrong',Armstrong Freeman's Maple,,Acer,307-50,307-50*3,,"Division of Trees, Department of Shade Trees",g,,,X-98,40-85,41.8179510000,-88.0519550000,Kurt Richard Wittig,
Acer saccharum Marshall,Sugar Maple,,Acer,332-72,332-72*1,,Kankakee Nursery Company,g,,,Y-104,77-22,41.8183760000,-88.0500030000,"Krick, Chris",
Acer ginnala 'Durand Dwarf',Durand Dwarf Amur Maple,,Acer,478-66,478-66*1,,The Morton Arboretum,g,,,W-101,75-55,41.8177980000,-88.0509570000,,
Acer barbatum Michx.,Florida Maple,,Acer,652-63,652-63*6,United States of America,,w,"Hardin, JW","United States of America, North Carolina, along Dixie Trail near Raleigh",BB-105,75-25,41.8192030000,-88.0496620000,,
Acer griseum (Franch.) Pax,Paper-barked Maple,,Acer,349-54,349-54*1,,"U.S.D.A., Plant Introduction Station",g,,,O-102,96-03,41.8156660000,-88.0506860000,,
Acer saccharinum L.,Silver Maple,,Acer,553-57,553-57*1,,"U.S.D.A., Plant Introduction Station/Garden",g,,,N-98,19-82,41.8151510000,-88.0518410000,,
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,854-2005,854-2005*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Kangle, in Lianhua Shan National Nature Reserve",S-99,02-99,41.8164860000,-88.0514710000,,
Acer saccharinum 'Laciniatum',Cut-leaved Silver Maple,,Acer,650-55,650-55*1,,Arnold Arboretum of Harvard University,g,,,O-96,45-90,41.8154790000,-88.0525600000,,
Acer ginnala var. semenowii (Regel & Herd) Pax,Semenov's Tatarian Maple,,Acer,176-84,176-84*1,U.S.S.R.,Botanical Garden of the Kirghiz Academy of Science,w,?,U.S.S.R.,V-100,69-50,41.8174970000,-88.0513290000,,
Acer campestre L.,Hedge Maple,,Acer,257-81,257-81*1,Switzerland,Conservatoire et Jardin Botaniques de la Ville de Genève,w,?,"Switzerland, Valais, near Martigny",U-101,91-87,41.8172960000,-88.0508170000,,
Acer griseum _ pseudoplatanus,Paperbark-Sycamore Hybrid Maple,,Acer,181-2006,181-2006*1,,"Beaver Creek Nursery, Inc.",g,,,X-99,22-67,41.8179090000,-88.0516520000,,
Acer saccharum 'Coleman',Coleman Sugar Maple,,Acer,552-59,552-59*2,United States of America,The Morton Arboretum,g,"Nordine, RM","United States of America, Minnesota, from a columnar tree along Lynn Ave., Lake City",S-101,58-47,41.8166540000,-88.0509360000,,
Acer mandshuricum Maxim.,Manchurian Maple,,Acer,303-93,303-93*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1993 Heilongjiang,w,,"China (PRC), Heilongjiang Sheng, at Ping Shan",R-99,36-99,41.8163050000,-88.0514630000,,
Acer pseudosieboldianum (Pax) Kom.,Korean Maple,,Acer,303-97,303-97*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1997 Jilin China,w,,"China (PRC), Jilin, Changbai",S-99,61-12,41.8166400000,-88.0517970000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,241-91,241-91*3,United States of America,Reeseville Ridge Nursery,g,?,"United States of America, Wisconsin, Washington, near highway 60 and Maple Road",T-100,12-34,41.8167910000,-88.0513560000,,
Acer argutum Maxim. ex Miq.,Deep-veined Maple,,Acer,291-2013,291-2013*3,,The Morton Arboretum,g,,,Q-102,64-87,41.8161340000,-88.0503990000,,
Acer mono Maxim.,Painted Maple,,Acer,314-52,314-52*2,,County of Monroe Department of Parks,g,,,W-100,67-78,41.8177690000,-88.0512380000,,
Acer,Maple,,Acer,102-47,102-47*1,,The Morton Arboretum,g,,,P-101,02-21,41.8156750000,-88.0509870000,,
Acer caudatum subsp. multiserratum A.E.Murray,Saw-toothed Maple,,Acer,289-2011,289-2011*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-100,23-81,41.8165530000,-88.0511730000,,
Acer tegmentosum Maxim.,Manchurian Striped Maple,,Acer,327-2000,327-2000*1,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Changbai",R-98,57-34,41.8163480000,-88.0520700000,,
Acer grandidentatum Nutt. ex Torr. & Gray,Big-toothed Maple,,Acer,276-74,276-74*1,United States of America,The Morton Arboretum-Staff,w,"Hess, WJ","United States of America, New Mexico, Eddy, Guadalupe Mts.",U-101,25-99,41.8171160000,-88.0507650000,,
Acer triflorum Komar.,Three-flowered Maple,,Acer,760-50,760-50*2,,Arnold Arboretum of Harvard University,g,,,V-98,40-64,41.8174010000,-88.0520070000,Gail Marie White,
Acer grandidentatum 'JFS-NuMex 3',Big-toothed Maple,MESA GLOW,Acer,262-2017,262-2017*1,,J. Frank Schmidt & Son Co.,g,,,T-101,76-13,41.8169730000,-88.0510760000,,
Acer palmatum Thunb.,Japanese Maple,,Acer,860-60,860-60*1,,"U.S.D.A., Plant Introduction Station/Garden",g,,,T-99,13-10,41.8167820000,-88.0518110000,,
Acer saccharum 'Coleman',Coleman Sugar Maple,,Acer,308-50,308-50*1,United States of America,The Morton Arboretum-Staff,g,"Nordine, RM","United States of America, Minnesota, from a columnar tree along Lynn Ave., Lake City",V-99,69-86,41.8174920000,-88.0515640000,,
Acer macrophyllum Pursh,Big-leaved Maple,,Acer,16-2007,16-2007*5,United States of America,,w,"Jacobson, L","United States of America, Washington, Thurston, near Olympia",T-101,80-40,41.8169870000,-88.0509760000,,
Acer pseudosieboldianum (Pax) Kom.,Korean Maple,,Acer,324-2000,324-2000*1,Russia,The Morton Arboretum Research Program,w,,"Russia, Rossiya (Russia), Primor'ye",T-99,50-48,41.8168870000,-88.0516760000,,
Acer miyabei subsp. miaotaiense (P.C.Tsoong) A.E.Murray,Miaotai Miyabe's Maple,,Acer,225-2007,225-2007*3,China (PRC),The Morton Arboretum Research Program,z,?,China (PRC),W-100,29-84,41.8176650000,-88.0512120000,,
Acer hyrcanum Fisch. & C.A.Mey.,Hyrcanian Maple,,Acer,67-2001,67-2001*1,Georgia,Midwest Plant Collecting Collaborative (MWPCC) 2000 Republic of Georgia Con,w,,"Georgia, near Tbilisi, Tskhneti",W-102,44-46,41.8177210000,-88.0506200000,,
Acer truncatum Bunge,Shantung Maple,,Acer,564-37,564-37*1,,Johannes Rafn & Son,g,,,N-96,11-34,41.8151060000,-88.0527490000,,
Acer carpinifolium Siebold & Zucc.,Hornbeam Maple,,Acer,348-2005,348-2005*6,Japan,The Morton Arboretum,z,?,"Japan, Tochigi, on Mt. Izura near Isura-kam-non-San Shrine",S-102,60-59,41.8166690000,-88.0505250000,,
Acer oblongum Wall. ex DC.,Himalayan Maple,,Acer,331-2011,331-2011*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,G,,"China (PRC), Gansu, cultivated plants",V-101,31-76,41.8174050000,-88.0508620000,,
Dipteronia sinensis Oliv.,Dipteronia,,Acer,264-2002,264-2002*1,China (PRC),U.S. National Arboretum Woody Landscape Plant Germplasm Repository,W,"Cui, T","China (PRC), Shaanxi, Mei(xian), on East River, Taibaishan",S-100,31-01,41.8165660000,-88.0514670000,,
Acer micranthum Siebold & Zucc.,Small-flowered Maple,,Acer,296-2013,296-2013*4,Japan,The Morton Arboretum,z,?,"Japan, Gunma, Ikaho, Ikaho town, Kitagunma-gun",T-100,34-58,41.8168540000,-88.0512720000,,
Dipteronia sinensis Oliv.,Dipteronia,,Acer,267-2002,267-2002*2,China (PRC),U.S. National Arboretum Woody Landscape Plant Germplasm Repository,W,"Cui, T","China (PRC), Shaanxi, Mei(xian), on East River, Taibaishan",V-99,61-54,41.8174670000,-88.0516800000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,241-91,241-91*2,United States of America,Reeseville Ridge Nursery,g,?,"United States of America, Wisconsin, Washington, near highway 60 and Maple Road",S-99,64-61,41.8166530000,-88.0516180000,,
Acer palmatum var. heptalobum Rehder,Seven-lobed Japanese Maple,,Acer,934-26,934-26*2,Japan,T. Sakata Nursery,w,"Sakata, T","Japan, Yokohama",Q-101,20-30,41.8159990000,-88.0509690000,,
Acer macrophyllum Pursh,Big-leaved Maple,,Acer,16-2007,16-2007*6,United States of America,,w,"Jacobson, L","United States of America, Washington, Thurston, near Olympia",U-101,08-36,41.8170640000,-88.0509940000,,
Acer saccharum Marshall,Sugar Maple,,Acer,8-U,8-U*3,,,u,,,S-101,13-12,41.8165270000,-88.0510580000,,
Acer triflorum Komar.,Three-flowered Maple,,Acer,760-50,760-50*5,,Arnold Arboretum of Harvard University,g,,,V-98,92-57,41.8175430000,-88.0520390000,Rotary International,
Acer miyabei subsp. miaotaiense (P.C.Tsoong) A.E.Murray,Miaotai Miyabe's Maple,,Acer,225-2007,225-2007*1,China (PRC),The Morton Arboretum Research Program,z,?,China (PRC),V-100,91-71,41.8175600000,-88.0512550000,,
Acer griseum (Franch.) Pax,Paper-barked Maple,,Acer,119-53,119-53*1,,United States National Arboretum,g,,,U-98,94-91,41.8172770000,-88.0519030000,,
Acer rubrum L.,Red Maple,,Acer,928-61,928-61*1,,The Morton Arboretum,g,,,S-103,65-45,41.8166910000,-88.0502110000,,
Acer caesium subsp. giraldii (Pax) A.E.Murray,Giraldi's Blue-gray Maple,,Acer,605-2010,605-2010*2,China (PRC),Arnold Arboretum of Harvard University,w,,China (PRC),V-100,31-46,41.8173920000,-88.0513390000,,
Acer palmatum var. heptalobum Rehder,Seven-lobed Japanese Maple,,Acer,388-30,388-30*1,,,g,,,S-99,98-17,41.8167420000,-88.0517830000,,
Acer saccharum Marshall,Sugar Maple,,Acer,393-54,393-54*1,,Arnold Arboretum of Harvard University,g,,,R-101,61-38,41.8163870000,-88.0509570000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*1,,Linderman's Chesterton Nurseries,g,,,Y-104,83-43,41.8183950000,-88.0499270000,"Krick, Chris",
Tilia americana var. americana,American Basswood,,Acer,333-72,333-72*1,,Kankakee Nursery Company,g,,,Y-104,92-61,41.8184210000,-88.0498620000,"Krick, Chris",
Acer saccharum Marshall,Sugar Maple,,Acer,87-54,87-54*1,,,g,,,O-101,75-55,41.8156040000,-88.0508590000,,
Acer freemanii 'Armstrong',Armstrong Freeman's Maple,,Acer,307-50,307-50*2,,"Division of Trees, Department of Shade Trees",g,,,V-98,75-74,41.8174980000,-88.0519750000,Wendy Lee Brown,
Acer tsinglingense W.P.Fang & C.F.Hsieh,Tsingling Maple,,Acer,264-2011,264-2011*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Xi'an City, Chang'an, Nan Wu Tai",S-101,42-28,41.8166070000,-88.0510030000,,
Acer 'Morton UW',Maple,MORNING STARBURST,Acer,9-2017,9-2017*3,,The Morton Arboretum,g,,,X-99,51-41,41.8179860000,-88.0517510000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*9,,Linderman's Chesterton Nurseries,g,,,Z-105,30-80,41.8185360000,-88.0494310000,"Krick, Chris",
Acer saccharum subsp. nigrum (F.Michx.) Desmarais,Black Maple,,Acer,301-63,301-63*2,,The Morton Arboretum,g,,,U-103,64-39,41.8172360000,-88.0502570000,,
Acer saccharum Marshall,Sugar Maple,,Acer,1118-22,1118-22*2,,Bryants Nurseries,g,,,P-101,41-09,41.8157810000,-88.0510360000,,
Acer davidii Franch.,Father David's Maple,,Acer,496-2008,496-2008*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji",S-98,38-73,41.8165730000,-88.0519370000,,
Acer davidii Franch.,Father David's Maple,,Acer,207-2009,207-2009*1,China (PRC),Göteborg Botanical Garden,w,?,"China (PRC), Shaanxi, Quin Ling Mts., Taibai Shan",R-98,38-69,41.8162990000,-88.0519400000,,
Acer nikoense Maxim.,Nikko Maple,,Acer,542-59,542-59*1,,The Morton Arboretum,g,,,V-98,36-83,41.8173920000,-88.0519370000,,
Acer freemanii 'Jenner',Jenner Freeman's Maple,,Acer,349-2005,349-2005*4,,The Morton Arboretum Research Program,g,,,T-100,95-34,41.8170190000,-88.0513660000,,
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,293-2011,293-2011*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-99,04-81,41.8164900000,-88.0515370000,,
Acer negundo 'Crispum Variegatum',Curly Variegated Boxelder,,Acer,424-2006,424-2006*3,,The Morton Arboretum,g,,,U-103,46-83,41.8171910000,-88.0500940000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,241-91,241-91*1,United States of America,Reeseville Ridge Nursery,g,?,"United States of America, Wisconsin, Washington, near highway 60 and Maple Road",R-99,81-20,41.8164210000,-88.0517580000,,
Acer negundo var. violaceum Booth ex G.Kirchn.,Boxelder,,Acer,476-2015,476-2015*1,United States of America,The Morton Arboretum-Staff,z,,"United States of America, Illinois, Will, right bank of the Du Page River",S-102,49-89,41.8166410000,-88.0504140000,,
Acer turkestanicum Pax,Turkestan Maple,,Acer,191-99,191-99*1,,"Gradina Botanica Macea Universitatii de Vest ""Vasile Goldis"" din Arad Comun",g,,,T-99,75-79,41.8169590000,-88.0515660000,,
Acer yui W.P.Fang,Yu Maple,,Acer,905-2005,905-2005*7,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Diebu",S-99,79-44,41.8166920000,-88.0516820000,,
Acer henryi Pax,Chinese Boxelder,,Acer,495-2008,495-2008*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji, at Huang Tia Ping",P-99,02-33,41.8156580000,-88.0516760000,,
Acer miyabei Maxim.,Miyabe Maple,,Acer,550-32,550-32*1,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,Q-99,15-40,41.8159680000,-88.0516650000,,
Acer pensylvanicum L.,Striped Maple,,Acer,590-83,590-83*1,Canada,Montreal Botanical Garden / Jardin botanique de Montréal,w,?,Canada,T-103,28-92,41.8168680000,-88.0500460000,,
Acer freemanii 'Jenner',Jenner Freeman's Maple,,Acer,349-2005,349-2005*1,,The Morton Arboretum Research Program,g,,,T-101,58-78,41.8169310000,-88.0508340000,,
Acer saccharum Marshall,Sugar Maple,,Acer,332-72,332-72*6,,Kankakee Nursery Company,g,,,Z-107,00-05,41.8184660000,-88.0489690000,"Krick, Chris",
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,880-2005,880-2005*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Zhou Qu Shen, in Bai Long Jiang Forest Station / Ge'er Gou",R-99,21-09,41.8162560000,-88.0517910000,,
Acer trautvetteri Medw.,Caucasus Maple,,Acer,1038-2004,1038-2004*3,Armenia,Morris Arboretum of the University of Pennsylvania,w,,"Armenia, Dilijan National Park, Tavush Marz",V-100,14-31,41.8173450000,-88.0513920000,,
Acer saccharum Marshall,Sugar Maple,,Acer,8-U,8-U*26,,,u,,,Y-102,81-76,41.8183740000,-88.0505390000,"Varney, Mary Elisabeth
Varney, Robert",
Acer nigrum F.Michx.,Black Maple,,Acer,528-63,528-63*3,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Illinois, Cook, Black Partridge Woods Forest Preserve near Lemont",R-102,86-71,41.8164680000,-88.0504720000,,
Acer saccharum Marshall,Sugar Maple,,Acer,50-72,50-72*1,,Tonica Nurseries,g,,,Y-106,75-25,41.8183900000,-88.0492590000,"Krick, Chris",
Acer turkestanicum Pax,Turkestan Maple,,Acer,191-99,191-99*3,,"Gradina Botanica Macea Universitatii de Vest ""Vasile Goldis"" din Arad Comun",g,,,T-100,94-08,41.8170140000,-88.0514620000,,
Acer saccharinum 'Laciniatum',Cut-leaved Silver Maple,,Acer,430-2006,430-2006*3,,The Morton Arboretum,g,,,U-103,49-00,41.8171910000,-88.0503980000,,
Acer argutum Maxim. ex Miq.,Deep-veined Maple,,Acer,291-2013,291-2013*2,,The Morton Arboretum,g,,,Q-102,60-67,41.8161210000,-88.0504710000,,
Tilia americana var. americana,American Basswood,,Acer,333-72,333-72*4,,Kankakee Nursery Company,g,,,Z-106,10-35,41.8184870000,-88.0492270000,"Krick, Chris",
Acer pentapomicum J.L.Stewart ex Brandis,Five Rivers Maple,,Acer,560-2001,560-2001*3,U.S.S.R.,The Morton Arboretum,z,?,"U.S.S.R., Tajik, Hissar Mts. on both sides of Kandara Valley",S-100,74-38,41.8166870000,-88.0513370000,,
Acer opalus var. obtusatum (Willd.) Henry,Bosnian Maple,,Acer,326-82,326-82*1,,The Morton Arboretum,g,,,W-101,59-83,41.8177570000,-88.0508530000,,
Acer rubrum L.,Red Maple,,Acer,598-57,598-57*4,,The Morton Arboretum,g,,,R-100,54-28,41.8163570000,-88.0513590000,,
Acer saccharum 'Coleman',Coleman Sugar Maple,,Acer,308-50,308-50*2,United States of America,The Morton Arboretum-Staff,g,"Nordine, RM","United States of America, Minnesota, from a columnar tree along Lynn Ave., Lake City",V-100,30-05,41.8173860000,-88.0514890000,"Matthews, H. I.
Matthews, Sarah",
Acer pseudosieboldianum (Pax) Kom.,Korean Maple,,Acer,583-57,583-57*1,,The Morton Arboretum,g,,,V-99,55-15,41.8174470000,-88.0518220000,,
Acer saccharum 'Green Mountain',Green Mountain Sugar Maple,,Acer,66-72,66-72*1,,Princeton Nurseries,g,,,P-101,26-50,41.8157430000,-88.0508840000,,
Acer palmatum var. heptalobum Rehder,Seven-lobed Japanese Maple,,Acer,934-26,934-26*1,Japan,T. Sakata Nursery,w,"Sakata, T","Japan, Yokohama",P-100,95-84,41.8159270000,-88.0511340000,,
Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray,Franchet's Maple,,Acer,524-2008,524-2008*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Shaanxi, Chang‘an, at Nan Wu Tai",V-100,46-74,41.8174370000,-88.0512380000,,
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,293-2011,293-2011*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-99,32-98,41.8165680000,-88.0514800000,,
Acer saccharum subsp. nigrum (F.Michx.) Desmarais,Black Maple,,Acer,301-63,301-63*3,,The Morton Arboretum,g,,,U-103,91-73,41.8173130000,-88.0501360000,,
Acer saccharum 'Morton',Sugar Maple,CRESCENDO,Acer,164-2016,164-2016*1,,Hinsdale Nurseries Inc.,g,,,Y-102,33-80,41.8182420000,-88.0505160000,"Moore, Jane E.",
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,313-2007,313-2007*2,United States of America,The Morton Arboretum,g,"Hall, L","United States of America, Illinois, Cook, Albert Jenner yard, Kenilworth",T-100,19-67,41.8168130000,-88.0512360000,,
Acer heldreichii Orph. ex Boiss.,Balkan Maple,,Acer,457-2009,457-2009*1,,New York Botanical Garden,g,,,Q-102,04-18,41.8159640000,-88.0506440000,,
Scilla siberica Haw.,Siberian Squill,,Acer,535-2001,535-2001*1,,various commercial sources,g,,,Y-102,80-95,41.8183730000,-88.0504690000,,
Acer henryi Pax,Chinese Boxelder,,Acer,276-2011,276-2011*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Huang Hua Ling, Niubeiliang",X-102,14-15,41.8179100000,-88.0507420000,,
Acer saccharum Marshall,Sugar Maple,,Acer,332-72,332-72*3,,Kankakee Nursery Company,g,,,Z-106,15-60,41.8185030000,-88.0491360000,"Krick, Chris",
Acer negundo 'Crispum Variegatum',Curly Variegated Boxelder,,Acer,424-2006,424-2006*1,,The Morton Arboretum,g,,,T-102,48-99,41.8169140000,-88.0503890000,,
Acer mandshuricum Maxim.,Manchurian Maple,,Acer,303-93,303-93*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1993 Heilongjiang,w,,"China (PRC), Heilongjiang Sheng, at Ping Shan",R-99,30-80,41.8162870000,-88.0515320000,,
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,854-2005,854-2005*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Kangle, in Lianhua Shan National Nature Reserve",R-100,98-27,41.8164780000,-88.0513680000,,
Acer miyabei 'Morton',Miyabe's Maple,STATE STREET,Acer,379-72,379-72*1,,The Morton Arboretum,g,,,P-99,49-75,41.8157900000,-88.0515280000,,
Acer saccharum 'Green Mountain',Green Mountain Sugar Maple,,Acer,135-69,135-69*2,,The Morton Arboretum,g,,,P-102,42-03,41.8157920000,-88.0506920000,,
Acer ukurunduense Trautv. & C.A.Mey.,Ukurundu Maple,,Acer,262-2004,262-2004*7,Russia,Botanical Garden-Institute of the Far Eastern Branch Russian Academy of Sci,w,?,"Russia, Rossiya (Russia), Primor'ye, at Snezhnaya Mountain",R-98,73-37,41.8163920000,-88.0520610000,,
Acer ukurunduense Trautv. & C.A.Mey.,Ukurundu Maple,,Acer,262-2004,262-2004*3,Russia,Botanical Garden-Institute of the Far Eastern Branch Russian Academy of Sci,w,?,"Russia, Rossiya (Russia), Primor'ye, at Snezhnaya Mountain",R-98,97-50,41.8164590000,-88.0520170000,,
Acer saccharum 'Green Mountain',Green Mountain Sugar Maple,,Acer,135-69,135-69*1,,The Morton Arboretum,g,,,P-101,91-75,41.8159240000,-88.0508000000,"Hobart, Nancy Sue",
Acer pseudosieboldianum (Pax) Kom.,Korean Maple,,Acer,324-2000,324-2000*3,Russia,The Morton Arboretum Research Program,w,,"Russia, Rossiya (Russia), Primor'ye",T-99,67-00,41.8169300000,-88.0518540000,,
Acer miyabei Maxim.,Miyabe Maple,,Acer,550-32,550-32*2,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,Q-99,40-10,41.8160340000,-88.0517780000,Mattmiller Family,
Acer triflorum Komar.,Three-flowered Maple,,Acer,328-2000,328-2000*3,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Antu, on Changbai Shan near Erdao Baihe",R-101,33-63,41.8163120000,-88.0508620000,,
Acer grandidentatum 'JFS-NuMex 3',Big-toothed Maple,MESA GLOW,Acer,262-2017,262-2017*2,,J. Frank Schmidt & Son Co.,g,,,T-103,57-23,41.8169410000,-88.0503010000,,
Acer henryi Pax,Chinese Boxelder,,Acer,276-2011,276-2011*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Huang Hua Ling, Niubeiliang",X-102,25-28,41.8179420000,-88.0506960000,,
Acer barbinerve Maxim. ex Miq.,Hairy-veined Maple,,Acer,258-2002,258-2002*3,China (PRC),U.S. National Arboretum Woody Landscape Plant Germplasm Repository,w,"Cui, T","China (PRC), Shaanxi, Mei(xian), at Taibaishan",W-100,55-20,41.8177310000,-88.0514490000,,
Acer rufinerve Siebold & Zucc.,Red-veined Maple,,Acer,200-2001,200-2001*3,Japan,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",w,?,"Japan, Gunma, at Kurohone Village, Seta-gun",U-99,30-92,41.8171110000,-88.0515250000,,
Narcissus 'Jetfire',Jetfire Narcissus,,Acer,536-2001,536-2001*1,,various commercial sources,g,,,Y-102,86-56,41.8183860000,-88.0506130000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,366-49,366-49*1,,Arnold Arboretum of Harvard University,g,,,S-99,09-41,41.8165000000,-88.0516850000,,
Acer mandshuricum Maxim.,Manchurian Maple,,Acer,321-2000,321-2000*1,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Antu, near Red Stone Forestry on Changbai Shan",R-101,04-74,41.8162340000,-88.0508180000,,
