Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Acer saccharinum 'Laciniatum',Cut-leaved Silver Maple,,Acer,430-2006,430-2006*1,,The Morton Arboretum,g,,,U-102,23-80,41.8171180000,-88.0504680000,,
Dipteronia sinensis Oliv.,Dipteronia,,Acer,267-2002,267-2002*1,China (PRC),U.S. National Arboretum Woody Landscape Plant Germplasm Repository,w,"Cui, T","China (PRC), Shaanxi, Mei(xian), on East River, Taibaishan",V-99,49-43,41.8174330000,-88.0517190000,,
Acer rubrum 'Schlesingeri',Schlesinger Red Maple,,Acer,330-82,330-82*2,,The Morton Arboretum,g,,,Y-102,29-00,41.8182240000,-88.0508110000,"Fritz, Rolf",
Acer palmatum Thunb.,Japanese Maple,,Acer,860-60,860-60*2,,"U.S.D.A., Plant Introduction Station/Garden",g,,,T-99,27-05,41.8168200000,-88.0518310000,,
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,293-2011,293-2011*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-99,48-85,41.8166110000,-88.0515290000,,
Acer saccharum Marshall,Sugar Maple,,Acer,332-72,332-72*5,,Kankakee Nursery Company,g,,,Z-106,55-60,41.8186120000,-88.0491400000,"Krick, Chris",
Acer ukurunduense Trautv. & C.A.Mey.,Ukurundu Maple,,Acer,262-2004,262-2004*1,Russia,Botanical Garden-Institute of the Far Eastern Branch Russian Academy of Sci,w,?,"Russia, Rossiya (Russia), Primor'ye, at Snezhnaya Mountain",R-98,81-58,41.8164160000,-88.0519850000,,
Acer caudatum subsp. multiserratum A.E.Murray,Saw-toothed Maple,,Acer,289-2011,289-2011*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-100,12-57,41.8165200000,-88.0512590000,,
Tilia americana var. americana,American Basswood,,Acer,333-72,333-72*3,,Kankakee Nursery Company,g,,,Z-105,25-35,41.8185190000,-88.0495950000,"Krick, Chris",
Acer griseum (Franch.) Pax,Paper-barked Maple,,Acer,240-2009,240-2009*1,,The Morton Arboretum Research Program,g,,,R-102,32-08,41.8163140000,-88.0506970000,,
Acer miyabei 'Morton',Miyabe's Maple,STATE STREET,Acer,379-72,379-72*2,,The Morton Arboretum,g,,,P-99,63-97,41.8158310000,-88.0514490000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,484-66,484-66*1,,The Morton Arboretum,g,,,N-97,90-55,41.8153340000,-88.0523150000,"Henning, Robert Roy",
Acer carpinifolium Siebold & Zucc.,Hornbeam Maple,,Acer,348-2005,348-2005*1,Japan,The Morton Arboretum,z,?,"Japan, Tochigi, on Mt. Izura near Isura-kam-non-San Shrine",T-100,48-48,41.8168910000,-88.0513090000,,
Acer negundo 'Crispum Variegatum',Curly Variegated Boxelder,,Acer,424-2006,424-2006*2,,The Morton Arboretum,g,,,T-102,55-60,41.8169300000,-88.0505330000,,
Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray,Franchet's Maple,,Acer,524-2008,524-2008*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Shaanxi, Chang‘an, at Nan Wu Tai",V-100,14-84,41.8173500000,-88.0511980000,,
Acer,Maple,,Acer,9-U,9-U*2,,,u,,,U-98,58-91,41.8171780000,-88.0518980000,,
Acer campestre 'Postelense',Postel Hedge Maple,,Acer,755-38,755-38*3,,L. Spaeth,g,,,U-100,89-34,41.8172770000,-88.0513780000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,320-2011,320-2011*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Gansu, Tianshui, Ma Song Tou",Q-100,23-78,41.8160040000,-88.0511600000,,
Acer barbatum Michx.,Florida Maple,,Acer,320-2007,320-2007*1,United States of America,The Morton Arboretum,z,?,"United States of America, Oklahoma, McCurtain",R-102,13-26,41.8162630000,-88.0506280000,,
Acer saccharum Marshall,Sugar Maple,,Acer,332-72,332-72*2,,Kankakee Nursery Company,g,,,Y-104,99-31,41.8184380000,-88.0499730000,"Krick, Chris",
Acer freemanii 'Armstrong',Armstrong Freeman's Maple,,Acer,307-50,307-50*1,,"Division of Trees, Department of Shade Trees",g,,,V-98,60-25,41.8174520000,-88.0521530000,,
Acer henryi Pax,Chinese Boxelder,,Acer,276-2011,276-2011*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Huang Hua Ling, Niubeiliang",X-102,12-50,41.8179080000,-88.0506130000,,
Acer rubrum L.,Red Maple,,Acer,1030-27,1030-27*1,,Botanischer Garten und Botanisches Museum Berlin-Dahlem,g,,,R-99,44-45,41.8163220000,-88.0516620000,,
Acer barbatum Michx.,Florida Maple,,Acer,652-63,652-63*1,United States of America,,w,"Hardin, JW","United States of America, North Carolina, along Dixie Trail near Raleigh",BB-105,50-40,41.8191360000,-88.0496040000,,
Acer circinatum Pursh,Vine Maple,,Acer,470-45,470-45*1,United States of America,,W,"Watson, L","United States of America, Washington, east slope of Cascade Mountains",V-98,20-10,41.8173410000,-88.0522030000,,
Acer diabolicum Blume ex K.Koch,Horned Maple,,Acer,1276-55,1276-55*1,,The Morton Arboretum,u,,,U-99,15-14,41.8170630000,-88.0518090000,,
Acer monspessulanum L.,Montpellier Maple,,Acer,16-77,16-77*1,Yugoslavia,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",w,?,"Yugoslavia, Bosnia and Hercegovina, Mount Cvrsnica",W-102,78-25,41.8178130000,-88.0507010000,,
Acer freemanii 'Jenner',Jenner Freeman's Maple,,Acer,349-2005,349-2005*2,,The Morton Arboretum Research Program,g,,,T-101,83-94,41.8170010000,-88.0507790000,,
Acer stachyophyllum Hiern,Spike-leaved Maple,,Acer,879-2005,879-2005*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Zhou Qu Shen, in Bai Long Jiang Forest Station / Ge'er Gou",S-100,63-87,41.8166620000,-88.0511560000,,
Acer saccharinum L.,Silver Maple,,Acer,395-72,395-72*2,,The Morton Arboretum,g,,,R-98,08-54,41.8162150000,-88.0519910000,,
Acer 'Morton UW',Maple,MORNING STARBURST,Acer,9-2017,9-2017*3,,The Morton Arboretum,g,,,X-99,51-41,41.8179860000,-88.0517510000,,
Acer,Maple,,Acer,636-56,636-56*1,,The Morton Arboretum,g,,,V-101,93-78,41.8175750000,-88.0508630000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,484-66,484-66*3,,The Morton Arboretum,g,,,O-97,70-50,41.8155530000,-88.0523430000,,
Acer rubrum L.,Red Maple,,Acer,124-52,124-52*1,,County of Monroe Department of Parks,g,,,S-103,80-80,41.8167350000,-88.0500840000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*2,,Linderman's Chesterton Nurseries,g,,,Y-105,65-35,41.8183540000,-88.0495880000,"Krick, Chris",
Acer tegmentosum Maxim.,Manchurian Striped Maple,,Acer,443-71,443-71*1,,Glendale Nursery,g,,,W-98,65-90,41.8177460000,-88.0519270000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,320-2011,320-2011*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Gansu, Tianshui, Ma Song Tou",Q-101,27-06,41.8160150000,-88.0510570000,,
Acer 'Morton UW',Maple,MORNING STARBURST,Acer,9-2017,9-2017*2,,The Morton Arboretum,g,,,O-97,26-21,41.8154300000,-88.0524440000,,
