PlantNumber,Taxon,Vernacular,BgLocation,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
18-2008*3,Ulmus lamellosa,Hebei Elm,Ulmaceae,Z-53,20-50,41.8180240000,-88.0685970000
116-96*2,Ulmus alata,Winged Elm,Ulmaceae,X-51,08-95,41.8174280000,-88.0691390000
568-2015*1,Ulmus hollandica 'Major',Major Netherland Elm,Ulmaceae,W-57,40-10,41.8172890000,-88.0672420000
395-2013*1,Ulmus androssowii × pumila,Androssow-Siberian Elm Hybrid,Ulmaceae,V-55,79-31,41.8171060000,-88.0678920000
180-84*1,Ulmus laciniata var. nikkoensis,Nikko Elm,Ulmaceae,U-52,69-15,41.8167750000,-88.0690370000
268-2008*1,Ulmus americana 'Valley Forge',Valley Forge American Elm,Ulmaceae,T-51,51-99,41.8164500000,-88.0690810000
1043-41*1,Ulmus minor 'Sarniensis',Jersey Elm,Ulmaceae,X-51,80-22,41.8176190000,-88.0694160000
173-2004*2,Ulmus parvifolia 'Garden City',Garden City Lacebark Elm,Ulmaceae,U-53,29-26,41.8166750000,-88.0686250000
1463-24*1,Ulmus minor,European Field Elm,Ulmaceae,X-50,95-47,41.8176530000,-88.0696930000
11-2013*1,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,W-55,82-42,41.8173900000,-88.0678650000
52-96*1,Ulmus parvifolia,Lacebark Elm,Ulmaceae,Y-52,14-36,41.8177230000,-88.0690020000
196-2011*2,Ulmus elongata,Long-seeded Elm,Ulmaceae,Y-53,11-02,41.8177210000,-88.0687600000
349-2007*1,Ulmus minor,European Field Elm,Ulmaceae,V-54,85-07,41.8171110000,-88.0683470000
181-84*1,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,U-51,79-77,41.8167990000,-88.0691770000
205-2008*1,Ulmus 'Cathedral',Cathedral Elm,Ulmaceae,T-54,57-67,41.8164910000,-88.0680990000
495-2004*5,Ulmus davidiana var. japonica 'Morton',Japanese Elm,Ulmaceae,W-49,62-40,41.8172790000,-88.0700680000
178-84*1,Ulmus thomasii,Rock Elm,Ulmaceae,W-52,98-26,41.8174040000,-88.0690250000
589-54*3,Ulmus macrocarpa,Large-fruited Elm,Ulmaceae,Y-52,25-70,41.8177560000,-88.0688790000
212-2004*1,Ulmus 'Morton Glossy',Elm,Ulmaceae,V-50,82-79,41.8170720000,-88.0695490000
400-2013*3,Ulmus pumila × rubra,Siberian-slippery Elm Hybrid,Ulmaceae,Z-54,42-51,41.8180940000,-88.0682290000
266-2017*2,Ulmus davidiana 'JFS KW2UD',Father David's Elm,Ulmaceae,Y-55,88-58,41.8179540000,-88.0678310000
6-2014*1,Ulmus parvifolia 'Glory',Glory Lacebark Elm,Ulmaceae,X-57,69-92,41.8176500000,-88.0669570000
199-2013*2,Ulmus thomasii,Rock Elm,Ulmaceae,X-57,79-29,41.8176720000,-88.0671920000
61-2003*1,Ulmus davidiana var. japonica 'Prospector',Prospector Japanese Elm,Ulmaceae,T-54,92-89,41.8165890000,-88.0680230000
991-27*1,Ulmus parvifolia,Lacebark Elm,Ulmaceae,Z-52,00-10,41.8179560000,-88.0691080000
476-2006*4,Ulmus parvifolia,Lacebark Elm,Ulmaceae,Y-54,51-90,41.8178480000,-88.0680760000
12-2013*3,Ulmus pseudopropinqua,False Corkbark Elm,Ulmaceae,V-53,88-44,41.8171140000,-88.0685800000
14-86*3,Ulmus crassifolia,Cedar Elm,Ulmaceae,X-51,29-80,41.8174850000,-88.0691970000
429-2008*5,Ulmus glaucescens,Gansu Elm,Ulmaceae,Y-54,97-67,41.8179720000,-88.0681660000
52-95*5,Ulmus mesocarpa,Japanese-bigfruit Hybrid Elm,Ulmaceae,V-51,54-66,41.8170030000,-88.0692270000
11-2013*3,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,W-56,19-05,41.8172240000,-88.0676260000
