MortonArb.Description,NPN.Description,NPN.Code
leaf.breaking.buds,Breaking leaf buds,371
fruit.ripe,Ripe fruits,390
leaf.increasing,Increasing leaf size,467
leaf.falling,Falling leaves,471
leaf.present,Leaves,483
leaf.color,Colored leaves,498
flower.buds,Flowers or flower buds,500
flower.open,Open flowers,501
flower.pollen,Pollen release (flowers),502
fruit.drop,Recent fruit or seed drop,504
fruit.present,Fruits,516
